Month,Rank,Ticker,Name,Sector,Revenue Growth,Revenue Growth Bucket,Score,Buy Price,1yr Return,2yr Max Return,2yr Final Return,Target 50 Hit,Target 100 Hit,Days to Target 100,Stop Before Target 100,Rule 50 Return,Rule 100 Return
2023-06,1,7235.T,東京ラヂエーター製造,輸送用機器,17.77343035724654,15-19.9%,195,507.0,0.514792899408284,1.0216962524654833,0.7731755424063116,True,True,657.0,False,0.5,1.0
2023-06,2,3571.T,ソトー,繊維製品,30.89249774178427,30%以上,185,714.0,0.012605042016806723,0.15826330532212884,-0.04481792717086835,False,False,,False,-0.04481792717086835,-0.04481792717086835
2023-06,3,7291.T,日本プラスト,輸送用機器,19.484648108757977,15-19.9%,175,417.0,0.05995203836930456,0.4892086330935252,-0.14628297362110312,False,False,,True,-0.25,-0.25
2023-06,4,5721.T,エス・サイエンス,非鉄金属,17.733511467687478,15-19.9%,165,23.0,0.043478260869565216,4.608695652173913,2.391304347826087,True,True,656.0,False,0.5,1.0
2023-06,5,7256.T,河西工業,輸送用機器,18.96334269091501,15-19.9%,165,151.0,0.3576158940397351,1.4768211920529801,-0.36423841059602646,True,True,78.0,False,0.5,1.0
2023-07,1,7256.T,河西工業,輸送用機器,18.96334269091501,15-19.9%,165,154.0,0.2987012987012987,1.4285714285714286,-0.3961038961038961,True,True,48.0,False,0.5,1.0
2023-07,2,7235.T,東京ラヂエーター製造,輸送用機器,17.77343035724654,15-19.9%,155,534.0,0.40262172284644193,0.9194756554307116,0.6947565543071161,True,False,,False,0.5,0.6947565543071161
2023-07,3,5721.T,エス・サイエンス,非鉄金属,17.733511467687478,15-19.9%,145,25.0,-0.12,15.88,11.6,True,True,626.0,False,0.5,1.0
2023-07,4,7291.T,日本プラスト,輸送用機器,19.484648108757977,15-19.9%,135,444.0,-0.006756756756756757,0.39864864864864863,-0.20495495495495494,False,False,,True,-0.25,-0.25
2023-08,1,5721.T,エス・サイエンス,非鉄金属,17.733511467687478,15-19.9%,165,24.0,0.125,16.583333333333332,4.125,True,True,595.0,False,0.5,1.0
2023-08,2,3571.T,ソトー,繊維製品,30.89249774178427,30%以上,145,755.0,-0.05562913907284768,0.10993377483443709,0.039735099337748346,False,False,,False,0.039735099337748346,0.039735099337748346
